"INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","ERROR"
"174","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","600000","","Pledge percent cannot be less than 0% or more than 99%"
"1610","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","EUR","615","","Pledge percent cannot be less than 0% or more than 99%"
"1610","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","EUR","195","","Pledge percent cannot be less than 0% or more than 99%"
"1610","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","EUR","7650","","Pledge percent cannot be less than 0% or more than 99%"
"1610","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","2340","","Pledge percent cannot be less than 0% or more than 99%"
"1647","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","6760","","Pledge percent cannot be less than 0% or more than 99%"
"1672","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","1.75","","Pledge percent cannot be less than 0% or more than 99%"
"5054","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","13900","","Pledge percent cannot be less than 0% or more than 99%"
"5226","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","27000","","Pledge percent cannot be less than 0% or more than 99%"
"5951","2013-03-31T23:00:00.000Z","2014-03-30T23:00:00.000Z","NZD","180000","","Pledge percent cannot be less than 0% or more than 99%"
"5951","2015-03-31T23:00:00.000Z","2016-03-30T23:00:00.000Z","NZD","180000","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","31200","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","31200","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","31200","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","42600","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","43150","","Pledge percent cannot be less than 0% or more than 99%"
"6022","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","USD","45000","","Pledge percent cannot be less than 0% or more than 99%"
"6115","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","20000","","Pledge percent cannot be less than 0% or more than 99%"
"6115","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","40000","","Pledge percent cannot be less than 0% or more than 99%"
"6115","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","38000","","Pledge percent cannot be less than 0% or more than 99%"
"6115","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","36000","","Pledge percent cannot be less than 0% or more than 99%"
"6197","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","GBP","36000","","Pledge percent cannot be less than 0% or more than 99%"
"6211","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","GBP","25000","","Pledge percent cannot be less than 0% or more than 99%"
"6279","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","14638","","Pledge percent cannot be less than 0% or more than 99%"
"6413","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","6000","","Pledge percent cannot be less than 0% or more than 99%"
"6413","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","6000","","Pledge percent cannot be less than 0% or more than 99%"
"6413","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","12000","","Pledge percent cannot be less than 0% or more than 99%"
"6413","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","19366","","Pledge percent cannot be less than 0% or more than 99%"
"7118","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","EUR","20000","","Pledge percent cannot be less than 0% or more than 99%"
"7118","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","EUR","33000","","Pledge percent cannot be less than 0% or more than 99%"
"5001","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","181281","","Pledge percent cannot be less than 0% or more than 99%"
"5001","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","334350","","Pledge percent cannot be less than 0% or more than 99%"
"5001","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","409322","","Pledge percent cannot be less than 0% or more than 99%"
"5001","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","439765","","Pledge percent cannot be less than 0% or more than 99%"
"7177","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CAD","19500","","Pledge percent cannot be less than 0% or more than 99%"
"7301","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","130000","","Pledge percent cannot be less than 0% or more than 99%"
"7301","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","133000","","Pledge percent cannot be less than 0% or more than 99%"
"7301","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","139650","","Pledge percent cannot be less than 0% or more than 99%"
"7389","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","900","","Pledge percent cannot be less than 0% or more than 99%"
"7389","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","3000","","Pledge percent cannot be less than 0% or more than 99%"
"7389","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","8800","","Pledge percent cannot be less than 0% or more than 99%"
"7389","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","12000","","Pledge percent cannot be less than 0% or more than 99%"
"7389","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","18000","","Pledge percent cannot be less than 0% or more than 99%"
"7648","2013-09-08T23:00:00.000Z","2014-09-07T23:00:00.000Z","GBP","27093.46","","Pledge percent cannot be less than 0% or more than 99%"
"7648","2014-09-08T23:00:00.000Z","2015-09-07T23:00:00.000Z","GBP","30802.31","","Pledge percent cannot be less than 0% or more than 99%"
