"ID","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DRIWQA4","2","2013-04-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Created"
"a064E000004DRIXQA4","2","2013-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","1333.33","Item Created"
"a064E000004DRIYQA4","2","2013-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.67","Item Created"
"a064E000004DRIZQA4","2","2012-01-01T08:00:00.000Z","a0758000002kNDHAA2","GBP","8750","Item Created"
"a064E000004DRIaQAO","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","12.57","Item Created"
"a064E000004DRIbQAO","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","65.52","Item Created"
"a064E000004DRIcQAO","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","106.25","Item Created"
"a064E000004DRIdQAO","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2065.66","Item Created"
"a064E000004DRIeQAO","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2434.34","Item Created"
"a064E000004DRIfQAO","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","3408","Item Created"
"a064E000004DRIgQAO","2","2014-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.75","Item Created"
"a064E000004DRIhQAO","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","201","Item Created"
"a064E000004DRIiQAO","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","2324","Item Created"
"a064E000004DRIjQAO","7","2012-10-30T00:00:00.000Z","a0758000002kNDHAA2","GBP","30","Item Created"
"a064E000004DRIkQAO","7","2013-02-21T00:00:00.000Z","a0758000002kNDHAA2","GBP","750","Item Created"
"a064E000004DRIlQAO","7","2013-05-07T23:00:00.000Z","a0758000002kNDHAA2","GBP","50","Item Created"
"a064E000004DRImQAO","7","2012-04-22T23:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DRInQAO","7","2013-02-08T00:00:00.000Z","a0758000002kNNlAAM","GBP","35","Item Created"
"a064E000004DRIoQAO","7","2013-04-14T23:00:00.000Z","a0758000002kNNlAAM","GBP","137.5","Item Created"
"a064E000004DRIpQAO","7","2014-01-26T00:00:00.000Z","a0758000002kNNlAAM","GBP","501.94","Item Created"
"a064E000004DRIqQAO","7","2014-03-25T00:00:00.000Z","a0758000002kNNlAAM","GBP","40","Item Created"
"a064E000004DRIrQAO","7","2014-04-26T23:00:00.000Z","a0758000002kNNlAAM","GBP","60","Item Created"
"a064E000004DRIsQAO","7","2014-08-04T23:00:00.000Z","a0758000002kNF9AAM","GBP","5000","Item Created"
"a064E000004DRItQAO","7","2014-12-15T00:00:00.000Z","a0758000002kNHwAAM","GBP","1934.59","Item Created"
"a064E000004DRIuQAO","7","2014-12-15T00:00:00.000Z","a0758000002kNNlAAM","GBP","132.48","Item Created"
"a064E000004DRIvQAO","7","2014-12-15T00:00:00.000Z","a0758000002kNH4AAM","GBP","2152.21","Item Created"
"a064E000004DRIwQAO","7","2015-02-05T00:00:00.000Z","a0758000002kNH4AAM","GBP","93","Item Created"
"a064E000004DRIxQAO","7","2015-02-05T00:00:00.000Z","a0758000002kNNlAAM","GBP","125.64","Item Created"
"a064E000004DRIyQAO","7","2015-02-05T00:00:00.000Z","a0758000002kNHwAAM","GBP","242.56","Item Created"
"a064E000004DRIzQAO","7","2015-02-05T00:00:00.000Z","a0758000002kNDHAA2","GBP","9675.92","Item Created"
"a064E000004DRJ0QAO","51","2013-10-21T06:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DRJ1QAO","51","2013-11-15T07:00:00.000Z","a0758000002kNDHAA2","EUR","400","Item Created"
"a064E000004DRJ2QAO","51","2014-02-17T07:00:00.000Z","a0758000002kNDHAA2","EUR","200","Item Created"
"a064E000004DRJ3QAO","51","2013-12-31T07:00:00.000Z","a0758000002kNHwAAM","USD","825","Item Created"
"a064E000004DRJ4QAO","51","2014-10-15T06:00:00.000Z","a0758000002kNDHAA2","CAD","1800","Item Created"
"a064E000004DRJ5QAO","51","2014-12-31T07:00:00.000Z","a0758000002kNDHAA2","CAD","2700","Item Created"
"a064E000004DRJ6QAO","51","2015-07-28T06:00:00.000Z","a0758000002kNDHAA2","CAD","1500","Item Created"
"a064E000004DRJ7QAO","51","2015-10-01T06:00:00.000Z","a0758000002kNDHAA2","CAD","1500","Item Created"
"a064E000004DRJ8QAO","51","2015-12-14T00:00:00.000Z","a0758000002kNDHAA2","CAD","1000","Item Created"
"a064E000004DRJ9QAO","51","2015-12-18T00:00:00.000Z","a0758000002kNDHAA2","CAD","1000","Item Created"
"a064E000004DRJAQA4","6","2014-04-20T23:00:00.000Z","a0758000002kNNlAAM","GBP","110","Item Created"
"a064E000004DRJBQA4","6","2014-04-30T18:30:00.000Z","a0758000002kNNlAAM","GBP","250","Item Created"
"a064E000004DRJCQA4","6","2013-08-31T23:00:00.000Z","a0758000002kNDHAA2","GBP","100","Item Created"
"a064E000004DRJDQA4","6","2013-11-21T00:00:00.000Z","a0758000002kNGHAA2","GBP","100","Item Created"
"a064E000004DRJEQA4","6","2014-01-31T00:00:00.000Z","a0758000002kNKtAAM","GBP","50","Item Created"
