"ID","DONATION_MD5_HASH","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","STATUS"
"a064E000004DTDVQA4","2-ae71f7d51799181122bdc1adba51c362","2","2013-04-07T23:00:00.000Z","a0758000002kNNlAAM","GBP","2500","Item Updated"
"a064E000004DTDWQA4","2-7131c53ab1f7cb98e1aea393ead33d96","2","2013-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","1333.33","Item Updated"
"a064E000004DTDXQA4","2-cb0fc8b84d5674bf47974e093fdf92e6","2","2013-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.67","Item Updated"
"a064E000004DTDYQA4","2-88d5b88b09bda04f3590ffe0f4af2c3e","2","2012-01-01T08:00:00.000Z","a0758000002kNDHAA2","GBP","8750","Item Updated"
"a064E000004DTDZQA4","2-66080812b8701ce5b9c13f0446206462","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","12.57","Item Updated"
"a064E000004DTDaQAO","2-15481168de639fd87aa278156e8a8383","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","65.52","Item Updated"
"a064E000004DTDbQAO","2-7a4b5cf8dc4c9b227d7e38d3a6128c5e","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","106.25","Item Updated"
"a064E000004DTDcQAO","2-e15cb0fb9dc01f24053de226cb993263","2","2012-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2065.66","Item Updated"
"a064E000004DTDdQAO","2-76d253d2a8c6caba7de959f6f6541d97","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","2434.34","Item Updated"
"a064E000004DTDeQAO","2-40a0c41adb9ffb176ecb7d84ee9aaa25","2","2011-01-01T08:00:00.000Z","a0758000002kNNlAAM","GBP","3408","Item Updated"
"a064E000004DTDfQAO","2-f66a73687386ba69effc1929a5e55612","2","2014-12-31T08:00:00.000Z","a0758000002kNNlAAM","GBP","966.75","Item Updated"
"a064E000004DTDgQAO","2-bbd9d47f8d00ea3f67d32bd366a46cde","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","201","Item Updated"
"a064E000004DTDhQAO","2-96a8019bb1f851fdc4ef8c370ae3fcb7","2","2015-12-01T08:00:00.000Z","a0758000002kNDHAA2","CAD","2324","Item Updated"
"a064E000004DTDiQAO","7-16d7c0e65fe6428cf8236c3e10831140","7","2012-10-30T00:00:00.000Z","a0758000002kNDHAA2","GBP","30","Item Updated"
