"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xQitQAE","2","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","25000","10","Item Created"
"a004E000007xQiuQAE","2","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","18800","10","Item Created"
"a004E000007xQivQAE","2","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","9667.49","10","Item Created"
"a004E000007xQiwQAE","2","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","CAD","24333.2","10","Item Created"
"a004E000007xQixQAE","7","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","8215.45","10","Item Created"
"a004E000007xQiyQAE","7","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","245205.85","10","Item Created"
"a004E000007xQizQAE","7","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","31631.54","10","Item Created"
"a004E000007xQj0QAE","51","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","EUR","13000","10","Item Created"
"a004E000007xQj1QAE","51","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CAD","34000","10","Item Created"
"a004E000007xQj2QAE","6","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","18000","10","Item Created"
"a004E000007xQj3QAE","6","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","35000","10","Item Created"
"a004E000007xQj4QAE","6","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","37400","10","Item Created"
"a004E000007xQj5QAE","71","2009-01-01T00:00:00.000Z","2009-12-31T00:00:00.000Z","GBP","400","10","Item Created"
"a004E000007xQj6QAE","71","2011-01-01T00:00:00.000Z","2011-12-31T00:00:00.000Z","USD","936","10","Item Created"
"a004E000007xQj7QAE","71","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","9510","10","Item Created"
"a004E000007xQj8QAE","71","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","15000","10","Item Created"
"a004E000007xQj9QAE","71","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","20000","10","Item Created"
"a004E000007xQjAQAU","71","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","64000","10","Item Created"
"a004E000007xQjBQAU","72","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","92689","10","Item Created"
"a004E000007xQjCQAU","72","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","185629","10","Item Created"
"a004E000007xQjDQAU","55","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","24500","10","Item Created"
"a004E000007xQjEQAU","77","2010-01-01T00:00:00.000Z","2010-12-31T00:00:00.000Z","USD","60000","10","Item Created"
"a004E000007xQjFQAU","77","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","1111111","10","Item Created"
